Time	PwfInj
0.100	3208
0.220	3095
0.360	2973
0.540	2843
0.740	2706
0.990	2565
1.290	2422
1.650	2282
1.860	2208
2.120	2133
2.430	2052
2.800	1972
3.030	1927
3.290	1882
3.620	1831
4.000	1781
4.230	1750
4.510	1721
4.840	1687
5.240	1653
5.480	1631
5.770	1611
6.110	1586
6.530	1563
6.780	1546
7.070	1532
7.430	1513
7.860	1496
8.380	1473
8.990	1453
9.370	1438
9.810	1426
10.340	1409
10.990	1395
11.370	1384
11.830	1375
12.380	1362
13.050	1352
13.450	1342
13.930	1336
14.500	1325
15.190	1318
15.600	1310
16.100	1305
16.690	1296
17.410	1290
17.840	1283
18.350	1279
18.970	1271
19.710	1266
20.600	1256
21.660	1250
22.300	1242
23.070	1238
23.990	1229
25.100	1225
25.760	1218
26.560	1215
27.510	1208
28.660	1204
29.350	1198
30.170	1195
31.160	1189
32.350	1186
33.070	1180
33.920	1178
34.950	1173
36.180	1170
36.920	1165
37.810	1164
38.870	1158
40.150	1156
41.680	1149
