Sw	Kro
0.0	0.9
0.01	0.9
0.02	0.9
0.03	0.9
0.04	0.9
0.05	0.9
0.06	0.9
0.07	0.9
0.08	0.9
0.09	0.9
0.1	0.9
0.11	0.8640043531478886
0.12	0.8289815015892447
0.13	0.7949181193611434
0.14	0.7618008805006614
0.15	0.729616459044874
0.16	0.6983515290308568
0.17	0.6679927644956863
0.18	0.6385268394764377
0.19	0.609940428010187
0.2	0.5822202041340099
0.21	0.5553528418849821
0.22	0.5293250153001796
0.23	0.5041233984166782
0.24	0.4797346652715536
0.25	0.4561454899018816
0.26	0.4333425463447377
0.27	0.4113125086371982
0.28	0.3900420508163385
0.29	0.3695178469192347
0.3	0.34972657098296267
0.31	0.33065489704459755
0.32	0.3122894991412156
0.33	0.2946170513098929
0.34	0.27762422758770455
0.35	0.26129770201172686
0.36	0.24562414861903545
0.37	0.23059024144670598
0.38	0.21618265453181448
0.39	0.20238806191143666
0.4	0.18919313762264814
0.41	0.1765845557025251
0.42	0.16454899018814292
0.43	0.1530731151165776
0.44	0.14214360452490477
0.45	0.13174713245020037
0.46	0.12187037292954025
0.47	0.1125
0.48	0.10362268769865558
0.49	0.09522511006258264
0.5	0.0872939411288571
0.51	0.07981585493455472
0.52	0.0727775255167512
0.53	0.06616562691252242
0.54	0.059966833158944174
0.55	0.05416781829309217
0.56	0.048755256352042295
0.57	0.043715821372870334
0.58	0.03903618739265195
0.59	0.03470302844846307
0.6	0.03070301857737943
0.61	0.027022831816476797
0.62	0.023649142202831017
0.63	0.020568623773517855
0.64	0.017767950565613075
0.65	0.015233796616192515
0.66	0.012952835962331937
0.67	0.010911742641107123
0.68	0.00909719068959389
0.69	0.007495854144868028
0.7	0.006094407044005297
0.71	0.004879523424081494
0.72	0.003837877322172429
0.73	0.0029561427753538806
0.74	0.0022209938207016344
0.75	0.0016191044952914922
0.76	0.0011371488361992346
0.77	0.0007618008805006596
0.78	0.00047973466527155263
0.79	0.00027762422758770294
0.8	0.0001421436045249039
0.81	5.9966833158943835e-05
0.82	1.7767950565613206e-05
0.83	2.2209938207016232e-06
0.84	0.0
0.85	0.0
0.86	0.0
0.87	0.0
0.88	0.0
0.89	0.0
0.9	0.0
0.91	0.0
0.92	0.0
0.93	0.0
0.94	0.0
0.95	0.0
0.96	0.0
0.97	0.0
0.98	0.0
0.99	0.0
1.0	0.0
