WCUT	ln(Ur) 	Ur  	U_1cP	U_10cP
0.00	0.00	1.00	1.00	10.00
0.01	0.00	1.00	1.00	10.00
0.02	0.01	1.01	1.01	10.11
0.03	0.06	1.06	1.06	10.64
0.04	0.11	1.12	1.12	11.19
0.05	0.16	1.18	1.18	11.77
0.06	0.21	1.24	1.24	12.38
0.07	0.26	1.30	1.30	13.02
0.08	0.31	1.37	1.37	13.69
0.09	0.36	1.44	1.44	14.40
0.10	0.42	1.51	1.51	15.15
0.11	0.47	1.59	1.59	15.93
0.12	0.52	1.68	1.68	16.76
0.13	0.57	1.76	1.76	17.62
0.14	0.62	1.85	1.85	18.54
0.15	0.67	1.95	1.95	19.49
0.16	0.72	2.05	2.05	20.50
0.17	0.77	2.16	2.16	21.57
0.18	0.82	2.27	2.27	22.68
0.19	0.87	2.39	2.39	23.86
0.20	0.92	2.51	2.51	25.09
0.21	0.97	2.64	2.64	26.39
0.22	1.02	2.78	2.78	27.76
0.23	1.07	2.92	2.92	29.19
0.24	1.12	3.07	3.07	30.70
0.25	1.17	3.23	3.23	32.29
0.26	1.22	3.40	3.40	33.97
0.27	1.27	3.57	3.57	35.72
0.28	1.32	3.76	3.76	37.57
0.29	1.37	3.95	3.95	39.52
0.30	1.42	4.16	4.16	41.57
0.31	1.48	4.37	4.37	43.72
0.32	1.53	4.60	4.60	45.98
0.33	1.58	4.84	4.84	48.36
0.34	1.63	5.09	5.09	50.86
0.35	1.68	5.35	5.35	53.50
0.36	1.73	5.63	5.63	56.27
0.37	1.78	5.92	5.92	59.18
0.38	1.83	6.22	6.22	62.24
0.39	1.88	6.55	6.55	6.49
0.40	1.93	6.89	6.89	6.40
0.41	1.98	7.24	7.24	6.31
0.42	2.03	7.62	7.62	6.22
0.43	2.08	8.01	8.01	6.13
0.44	2.13	8.43	8.43	6.04
0.45	2.18	8.86	8.86	5.95
0.46	2.23	9.32	9.32	5.86
0.47	2.28	9.80	9.80	5.77
0.48	2.33	10.31	10.31	5.68
0.49	2.38	10.84	10.84	5.59
0.50	2.43	11.41	1.00	5.50
0.51	2.48	12.00	1.00	5.41
0.52	2.54	12.62	1.00	5.32
0.53	2.59	13.27	1.00	5.23
0.54	2.64	13.96	1.00	5.14
0.55	2.69	14.68	1.00	5.05
0.56	2.74	15.44	1.00	4.96
0.57	2.79	16.24	1.00	4.87
0.58	2.84	17.08	1.00	4.78
0.59	2.89	17.97	1.00	4.69
0.60	2.94	18.90	1.00	4.60
0.61	2.99	19.87	1.00	4.51
0.62	3.04	20.90	1.00	4.42
0.63	3.09	21.98	1.00	4.33
0.64	3.14	23.12	1.00	4.24
0.65	3.19	24.32	1.00	4.15
0.66	3.24	25.58	1.00	4.06
0.67	3.29	26.90	1.00	3.97
0.68	3.34	28.30	1.00	3.88
0.69	3.39	29.76	1.00	3.79
0.70	3.44	31.30	1.00	3.70
0.71	3.49	32.92	1.00	3.61
0.72	3.54	34.63	1.00	3.52
0.73	3.60	36.42	1.00	3.43
0.74	3.65	38.30	1.00	3.34
0.75	3.70	40.29	1.00	3.25
0.76	3.75	42.37	1.00	3.16
0.77	3.80	44.57	1.00	3.07
0.78	3.85	46.87	1.00	2.98
0.79	3.90	49.30	1.00	2.89
0.80	3.95	51.85	1.00	2.80
0.81	4.00	54.54	1.00	2.71
0.82	4.05	57.36	1.00	2.62
0.83	4.10	60.33	1.00	2.53
0.84	4.15	63.45	1.00	2.44
0.85	4.20	66.74	1.00	2.35
0.86	4.25	70.19	1.00	2.26
0.87	4.30	73.83	1.00	2.17
0.88	4.35	77.65	1.00	2.08
0.89	4.40	81.67	1.00	1.99
0.90	4.45	85.90	1.00	1.90
0.91	4.50	90.34	1.00	1.81
0.92	4.55	95.02	1.00	1.72
0.93	4.60	99.94	1.00	1.63
0.94	4.66	105.11	1.00	1.54
0.95	4.71	110.56	1.00	1.45
0.96	4.76	116.28	1.00	1.36
0.97	4.81	122.30	1.00	1.27
0.98	4.86	128.63	1.00	1.18
0.99	4.91	135.29	1.00	1.09
1.00	4.96	142.29	1.00	1.00
