Reynold	f
100.0	0.640000
110.0	0.581818
121.0	0.528926
133.1	0.480841
146.4	0.437129
161.1	0.397390
177.2	0.361263
194.9	0.328421
214.4	0.298565
235.8	0.271422
259.4	0.246748
285.3	0.224316
313.8	0.203924
345.2	0.185385
379.7	0.168532
417.7	0.153211
459.5	0.139283
505.4	0.126621
556.0	0.115110
611.6	0.104645
672.7	0.095132
740.0	0.086484
814.0	0.078621
895.4	0.071474
985.0	0.064976
1083.5	0.059069
1191.8	0.053699
1311.0	0.048818
1442.1	0.044380
1586.3	0.040345
1744.9	0.036677
1919.4	0.033343
2100.0	0.030476
