Reynold	f
4000.0	0.045531
4400.0	0.044626
4840.0	0.043771
5324.0	0.042964
5856.4	0.042203
6442.0	0.041486
7086.2	0.040811
7794.9	0.040177
8574.4	0.039580
9431.8	0.039021
10375.0	0.038497
11412.5	0.038006
12553.7	0.037547
13809.1	0.037118
15190.0	0.036718
16709.0	0.036345
18379.9	0.035998
20217.9	0.035676
22239.7	0.035377
24463.6	0.035099
26910.0	0.034842
29601.0	0.034605
32561.1	0.034385
35817.2	0.034182
39398.9	0.033995
43338.8	0.033822
47672.7	0.033664
52440.0	0.033518
57684.0	0.033384
63452.4	0.033261
69797.6	0.033148
76777.4	0.033044
84455.1	0.032949
92900.6	0.032862
102190.	0.032783
