                   Time_d	               TimeStep_d	                  Qo_m3/d	                  Qw_m3/d	                  Qg_m3/d	                 Qwi_m3/d	              PwfProd_bar	               PwfInj_bar	              PwhProd_bar	               PwhInj_bar	             QgFlare_m3/d	              QgFuel_m3/d	               QgExp_m3/d	                  Pump_MW	                   ESP_MW	              ExpCompr_MW	            TotalPower_MW	     GasEmission_tonCO2/d	  DieselEmission_tonCO2/d	   TotalEmission_tonCO2/d	       CumEmission_tonCO2	    RelEmission_kgCO2/boe
                     2.91	                     0.31	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  4361.16	                    20.00	                  4085.87	                    41.10	                  2014.09	                     0.00	                     6.30	                     0.29	                     0.00	                     6.60	                     3.79	                    38.98	                    42.78	                  3530.60	                    41.55
                     3.28	                     0.37	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  3723.14	                    20.00	                  3447.85	                    41.10	                  2014.09	                     0.00	                     5.32	                     0.29	                     0.00	                     5.61	                     3.79	                    33.16	                    36.96	                  3544.33	                    35.89
                     3.50	                     0.22	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  3434.86	                    20.00	                  3159.57	                    41.10	                  2014.09	                     0.00	                     4.87	                     0.29	                     0.00	                     5.17	                     3.79	                    30.53	                    34.33	                  3551.98	                    33.34
                     3.77	                     0.27	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  3153.63	                    20.00	                  2878.34	                    41.10	                  2014.09	                     0.00	                     4.44	                     0.29	                     0.00	                     4.73	                     3.79	                    27.97	                    31.76	                  3560.47	                    30.84
                     4.09	                     0.32	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  2886.35	                    20.00	                  2611.06	                    41.10	                  2014.09	                     0.00	                     4.03	                     0.29	                     0.00	                     4.32	                     3.79	                    25.53	                    29.32	                  3569.88	                    28.48
                     4.47	                     0.39	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  2636.18	                    20.00	                  2360.89	                    41.10	                  2014.09	                     0.00	                     3.64	                     0.29	                     0.00	                     3.93	                     3.79	                    23.24	                    27.04	                  3580.30	                    26.26
                     4.70	                     0.23	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  2512.12	                    20.00	                  2236.83	                    41.10	                  2014.09	                     0.00	                     3.45	                     0.29	                     0.00	                     3.74	                     3.79	                    22.11	                    25.90	                  3586.29	                    25.16
                     4.98	                     0.28	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  2388.03	                    20.00	                  2112.74	                    41.10	                  2014.09	                     0.00	                     3.26	                     0.29	                     0.00	                     3.55	                     3.79	                    20.98	                    24.77	                  3593.16	                    24.06
                     5.31	                     0.33	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  2261.32	                    20.00	                  1986.03	                    41.10	                  2014.09	                     0.00	                     3.06	                     0.29	                     0.00	                     3.36	                     3.79	                    19.82	                    23.62	                  3601.01	                    22.94
                     5.71	                     0.40	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  2138.68	                    20.00	                  1863.39	                    41.10	                  2014.09	                     0.00	                     2.87	                     0.29	                     0.00	                     3.17	                     3.79	                    18.70	                    22.50	                  3610.00	                    21.85
                     5.83	                     0.12	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  2103.01	                    20.00	                  1827.72	                    41.10	                  2014.09	                     0.00	                     2.82	                     0.29	                     0.00	                     3.11	                     3.79	                    18.38	                    22.17	                  3612.66	                    21.53
                     5.98	                     0.14	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  2067.36	                    20.00	                  1792.07	                    41.10	                  2014.09	                     0.00	                     2.76	                     0.29	                     0.00	                     3.06	                     3.79	                    18.05	                    21.85	                  3615.80	                    21.22
                     6.15	                     0.17	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  2025.69	                    20.00	                  1750.40	                    41.10	                  2014.09	                     0.00	                     2.70	                     0.29	                     0.00	                     2.99	                     3.79	                    17.67	                    21.47	                  3619.50	                    20.85
                     6.36	                     0.21	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1982.13	                    20.00	                  1706.84	                    41.10	                  2014.09	                     0.00	                     2.63	                     0.29	                     0.00	                     2.92	                     3.79	                    17.27	                    21.07	                  3623.86	                    20.46
                     6.61	                     0.25	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1932.23	                    20.00	                  1656.94	                    41.10	                  2014.09	                     0.00	                     2.56	                     0.29	                     0.00	                     2.85	                     3.79	                    16.82	                    20.61	                  3628.98	                    20.02
                     6.90	                     0.30	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1881.88	                    20.00	                  1606.59	                    41.10	                  2014.09	                     0.00	                     2.48	                     0.29	                     0.00	                     2.77	                     3.79	                    16.36	                    20.15	                  3634.99	                    19.57
                     7.26	                     0.36	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1825.45	                    20.00	                  1550.16	                    41.10	                  2014.09	                     0.00	                     2.39	                     0.29	                     0.00	                     2.68	                     3.79	                    15.84	                    19.64	                  3642.02	                    19.07
                     7.69	                     0.43	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1771.01	                    20.00	                  1495.72	                    41.10	                  2014.09	                     0.00	                     2.31	                     0.29	                     0.00	                     2.60	                     3.79	                    15.35	                    19.14	                  3650.23	                    18.59
                     7.95	                     0.26	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1738.07	                    20.00	                  1462.78	                    41.10	                  2014.09	                     0.00	                     2.26	                     0.29	                     0.00	                     2.55	                     3.79	                    15.05	                    18.84	                  3655.09	                    18.30
                     8.26	                     0.31	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1707.11	                    20.00	                  1431.82	                    41.10	                  2014.09	                     0.00	                     2.21	                     0.29	                     0.00	                     2.50	                     3.79	                    14.76	                    18.56	                  3660.82	                    18.02
                     8.63	                     0.37	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1670.19	                    20.00	                  1394.91	                    41.10	                  2014.09	                     0.00	                     2.15	                     0.29	                     0.00	                     2.44	                     3.79	                    14.43	                    18.22	                  3667.58	                    17.70
                     9.07	                     0.45	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1635.26	                    20.00	                  1359.97	                    41.10	                  2014.09	                     0.00	                     2.10	                     0.29	                     0.00	                     2.39	                     3.79	                    14.11	                    17.90	                  3675.55	                    17.39
                     9.34	                     0.27	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1612.40	                    20.00	                  1337.11	                    41.10	                  2014.09	                     0.00	                     2.06	                     0.29	                     0.00	                     2.35	                     3.79	                    13.90	                    17.69	                  3680.27	                    17.18
                     9.66	                     0.32	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1591.88	                    20.00	                  1316.60	                    41.10	                  2014.09	                     0.00	                     2.03	                     0.29	                     0.00	                     2.32	                     3.79	                    13.71	                    17.51	                  3685.88	                    17.00
                    10.05	                     0.38	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1565.91	                    20.00	                  1290.63	                    41.10	                  2014.09	                     0.00	                     1.99	                     0.29	                     0.00	                     2.28	                     3.79	                    13.48	                    17.27	                  3692.52	                    16.77
                    10.51	                     0.46	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1542.02	                    20.00	                  1266.73	                    41.10	                  2014.09	                     0.00	                     1.95	                     0.29	                     0.00	                     2.25	                     3.79	                    13.26	                    17.05	                  3700.39	                    16.56
                    10.78	                     0.28	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1525.13	                    20.00	                  1249.84	                    41.10	                  2014.09	                     0.00	                     1.93	                     0.29	                     0.00	                     2.22	                     3.79	                    13.10	                    16.90	                  3705.07	                    16.41
                    11.12	                     0.33	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1510.75	                    20.00	                  1235.46	                    41.10	                  2014.09	                     0.00	                     1.91	                     0.29	                     0.00	                     2.20	                     3.79	                    12.97	                    16.77	                  3710.64	                    16.28
