                   Time_d	               TimeStep_d	                  Qo_m3/d	                  Qw_m3/d	                  Qg_m3/d	                 Qwi_m3/d	              PwfProd_bar	               PwfInj_bar	              PwhProd_bar	               PwhInj_bar	             QgFlare_m3/d	              QgFuel_m3/d	               QgExp_m3/d	                  Pump_MW	                   ESP_MW	              ExpCompr_MW	            TotalPower_MW	     GasEmission_tonCO2/d	  DieselEmission_tonCO2/d	   TotalEmission_tonCO2/d	       CumEmission_tonCO2	    RelEmission_kgCO2/boe
                     0.10	                     0.10	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1498.64	                    20.00	                  1213.52	                    41.10	                  2014.09	                     0.00	                     1.87	                     0.29	                     0.00	                     2.16	                     3.79	                    12.77	                    16.57	                     1.66	                    16.09
                     0.22	                     0.12	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1494.02	                    20.00	                  1208.90	                    41.10	                  2014.09	                     0.00	                     1.86	                     0.29	                     0.00	                     2.16	                     3.79	                    12.73	                    16.52	                     3.64	                    16.05
                     0.36	                     0.14	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1487.48	                    20.00	                  1202.36	                    41.10	                  2014.09	                     0.00	                     1.85	                     0.29	                     0.00	                     2.15	                     3.79	                    12.67	                    16.46	                     6.01	                    15.99
                     0.54	                     0.17	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1481.26	                    20.00	                  1196.13	                    41.10	                  2014.09	                     0.00	                     1.84	                     0.29	                     0.00	                     2.14	                     3.79	                    12.61	                    16.41	                     8.85	                    15.94
                     0.74	                     0.21	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1472.48	                    20.00	                  1187.36	                    41.10	                  2014.09	                     0.00	                     1.83	                     0.29	                     0.00	                     2.12	                     3.79	                    12.53	                    16.33	                    12.23	                    15.86
                     0.99	                     0.25	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1464.31	                    20.00	                  1179.19	                    41.10	                  2014.09	                     0.00	                     1.82	                     0.29	                     0.00	                     2.11	                     3.79	                    12.46	                    16.25	                    16.28	                    15.79
                     1.29	                     0.30	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1452.86	                    20.00	                  1167.73	                    41.10	                  2014.09	                     0.00	                     1.80	                     0.29	                     0.00	                     2.09	                     3.79	                    12.35	                    16.15	                    21.10	                    15.68
                     1.65	                     0.36	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1442.48	                    20.00	                  1157.36	                    41.10	                  2014.09	                     0.00	                     1.78	                     0.29	                     0.00	                     2.08	                     3.79	                    12.26	                    16.05	                    26.85	                    15.59
                     2.08	                     0.43	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1428.02	                    20.00	                  1142.89	                    41.10	                  2014.09	                     0.00	                     1.76	                     0.29	                     0.00	                     2.05	                     3.79	                    12.13	                    15.92	                    33.70	                    15.46
                     2.60	                     0.52	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1415.40	                    20.00	                  1130.28	                    41.10	                  2014.09	                     0.00	                     1.74	                     0.29	                     0.00	                     2.03	                     3.79	                    12.01	                    15.81	                    41.85	                    15.35
                     3.22	                     0.62	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1397.85	                    20.00	                  1112.72	                    41.10	                  2014.09	                     0.00	                     1.72	                     0.29	                     0.00	                     2.01	                     3.79	                    11.85	                    15.65	                    51.54	                    15.20
                     3.96	                     0.74	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1383.31	                    20.00	                  1098.19	                    41.10	                  2014.09	                     0.00	                     1.69	                     0.29	                     0.00	                     1.99	                     3.79	                    11.72	                    15.51	                    63.07	                    15.07
                     4.40	                     0.45	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1371.36	                    20.00	                  1086.23	                    41.10	                  2014.09	                     0.00	                     1.67	                     0.29	                     0.00	                     1.97	                     3.79	                    11.61	                    15.40	                    69.93	                    14.96
                     4.94	                     0.53	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1362.69	                    20.00	                  1077.56	                    41.10	                  2014.09	                     0.00	                     1.66	                     0.29	                     0.00	                     1.95	                     3.79	                    11.53	                    15.33	                    78.13	                    14.88
                     5.58	                     0.64	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1349.43	                    20.00	                  1064.30	                    41.10	                  2014.09	                     0.00	                     1.64	                     0.29	                     0.00	                     1.93	                     3.79	                    11.41	                    15.20	                    87.89	                    14.77
                     6.35	                     0.77	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1339.13	                    20.00	                  1054.00	                    41.10	                  2014.09	                     0.00	                     1.63	                     0.29	                     0.00	                     1.92	                     3.79	                    11.32	                    15.11	                    99.54	                    14.68
                     6.81	                     0.46	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1329.53	                    20.00	                  1044.40	                    41.10	                  2014.09	                     0.00	                     1.61	                     0.29	                     0.00	                     1.90	                     3.79	                    11.23	                    15.02	                   106.48	                    14.59
                     7.37	                     0.55	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1323.23	                    20.00	                  1038.11	                    41.10	                  2014.09	                     0.00	                     1.60	                     0.29	                     0.00	                     1.89	                     3.79	                    11.17	                    14.97	                   114.78	                    14.53
                     8.03	                     0.67	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1312.53	                    20.00	                  1027.40	                    41.10	                  2014.09	                     0.00	                     1.58	                     0.29	                     0.00	                     1.88	                     3.79	                    11.07	                    14.87	                   124.68	                    14.44
                     8.83	                     0.80	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1304.87	                    20.00	                  1019.75	                    41.10	                  2014.09	                     0.00	                     1.57	                     0.29	                     0.00	                     1.86	                     3.79	                    11.00	                    14.80	                   136.49	                    14.37
                     9.31	                     0.48	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1296.70	                    20.00	                  1011.57	                    41.10	                  2014.09	                     0.00	                     1.56	                     0.29	                     0.00	                     1.85	                     3.79	                    10.93	                    14.72	                   143.55	                    14.30
                     9.89	                     0.58	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1291.93	                    20.00	                  1006.81	                    41.10	                  2014.09	                     0.00	                     1.55	                     0.29	                     0.00	                     1.84	                     3.79	                    10.89	                    14.68	                   151.99	                    14.26
                    10.58	                     0.69	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1282.85	                    20.00	                   997.72	                    41.10	                  2014.09	                     0.00	                     1.54	                     0.29	                     0.00	                     1.83	                     3.79	                    10.80	                    14.60	                   162.07	                    14.18
                    11.40	                     0.83	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1276.95	                    20.00	                   991.82	                    41.10	                  2014.09	                     0.00	                     1.53	                     0.29	                     0.00	                     1.82	                     3.79	                    10.75	                    14.54	                   174.11	                    14.12
                    11.90	                     0.50	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1269.71	                    20.00	                   984.58	                    41.10	                  2014.09	                     0.00	                     1.52	                     0.29	                     0.00	                     1.81	                     3.79	                    10.68	                    14.48	                   181.30	                    14.06
                    12.50	                     0.60	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1265.98	                    20.00	                   980.86	                    41.10	                  2014.09	                     0.00	                     1.51	                     0.29	                     0.00	                     1.80	                     3.79	                    10.65	                    14.44	                   189.91	                    14.03
                    13.21	                     0.72	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1258.02	                    20.00	                   972.89	                    41.10	                  2014.09	                     0.00	                     1.50	                     0.29	                     0.00	                     1.79	                     3.79	                    10.58	                    14.37	                   200.20	                    13.96
                    14.07	                     0.86	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1253.33	                    20.00	                   968.21	                    41.10	                  2014.09	                     0.00	                     1.49	                     0.29	                     0.00	                     1.78	                     3.79	                    10.53	                    14.33	                   212.50	                    13.92
                    14.59	                     0.52	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1246.79	                    20.00	                   961.67	                    41.10	                  2014.09	                     0.00	                     1.48	                     0.29	                     0.00	                     1.77	                     3.79	                    10.47	                    14.27	                   219.85	                    13.86
                    15.21	                     0.62	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1243.80	                    20.00	                   958.67	                    41.10	                  2014.09	                     0.00	                     1.48	                     0.29	                     0.00	                     1.77	                     3.79	                    10.45	                    14.24	                   228.65	                    13.83
                    15.95	                     0.74	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1236.70	                    20.00	                   951.57	                    41.10	                  2014.09	                     0.00	                     1.47	                     0.29	                     0.00	                     1.76	                     3.79	                    10.38	                    14.18	                   239.17	                    13.77
                    16.84	                     0.89	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1232.89	                    20.00	                   947.76	                    41.10	                  2014.09	                     0.00	                     1.46	                     0.29	                     0.00	                     1.75	                     3.79	                    10.35	                    14.14	                   251.75	                    13.73
                    17.37	                     0.53	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1226.93	                    20.00	                   941.80	                    41.10	                  2014.09	                     0.00	                     1.45	                     0.29	                     0.00	                     1.74	                     3.79	                    10.29	                    14.09	                   259.28	                    13.68
                    18.01	                     0.64	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1224.47	                    20.00	                   939.35	                    41.10	                  2014.09	                     0.00	                     1.45	                     0.29	                     0.00	                     1.74	                     3.79	                    10.27	                    14.06	                   268.29	                    13.66
                    18.78	                     0.77	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   278.36	                  1218.08	                    20.00	                   932.96	                    41.10	                  2014.09	                     0.00	                     1.44	                     0.29	                     0.00	                     1.73	                     3.79	                    10.21	                    14.01	                   279.06	                    13.60
