                   Time_d	               TimeStep_d	                  Qo_m3/d	                  Qw_m3/d	                  Qg_m3/d	                 Qwi_m3/d	              PwfProd_bar	               PwfInj_bar	              PwhProd_bar	               PwhInj_bar	             QgFlare_m3/d	              QgFuel_m3/d	               QgExp_m3/d	                  Pump_MW	                   ESP_MW	              ExpCompr_MW	            TotalPower_MW	     GasEmission_tonCO2/d	  DieselEmission_tonCO2/d	   TotalEmission_tonCO2/d	       CumEmission_tonCO2	    RelEmission_kgCO2/boe
                     0.10	                     0.10	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   518.83	                  1739.11	                    20.00	                  1463.82	                    41.10	                  2014.09	                     0.00	                     2.26	                     0.28	                     0.00	                     2.54	                     3.79	                    14.97	                    18.77	                     1.88	                    18.23
                     0.22	                     0.12	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   518.83	                  1734.50	                    20.00	                  1459.21	                    41.10	                  2014.09	                     0.00	                     2.25	                     0.28	                     0.00	                     2.53	                     3.79	                    14.93	                    18.73	                     4.12	                    18.19
                     0.36	                     0.14	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   518.83	                  1727.95	                    20.00	                  1452.66	                    41.10	                  2014.09	                     0.00	                     2.24	                     0.28	                     0.00	                     2.52	                     3.79	                    14.87	                    18.67	                     6.81	                    18.13
                     0.54	                     0.17	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   518.83	                  1721.73	                    20.00	                  1446.44	                    41.10	                  2014.09	                     0.00	                     2.23	                     0.28	                     0.00	                     2.51	                     3.79	                    14.82	                    18.61	                    10.03	                    18.07
                     0.74	                     0.21	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   518.83	                  1712.96	                    20.00	                  1437.67	                    41.10	                  2014.09	                     0.00	                     2.22	                     0.28	                     0.00	                     2.50	                     3.79	                    14.74	                    18.53	                    13.87	                    18.00
                     0.99	                     0.25	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   518.83	                  1704.78	                    20.00	                  1429.49	                    41.10	                  2014.09	                     0.00	                     2.20	                     0.28	                     0.00	                     2.48	                     3.79	                    14.66	                    18.46	                    18.46	                    17.92
                     1.29	                     0.30	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   518.83	                  1693.33	                    20.00	                  1418.04	                    41.10	                  2014.09	                     0.00	                     2.19	                     0.28	                     0.00	                     2.46	                     3.79	                    14.56	                    18.35	                    23.94	                    17.82
                     1.65	                     0.36	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   518.83	                  1682.95	                    20.00	                  1407.66	                    41.10	                  2014.09	                     0.00	                     2.17	                     0.28	                     0.00	                     2.45	                     3.79	                    14.46	                    18.26	                    30.48	                    17.73
                     2.08	                     0.43	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   518.83	                  1668.49	                    20.00	                  1393.20	                    41.10	                  2014.09	                     0.00	                     2.15	                     0.28	                     0.00	                     2.43	                     3.79	                    14.33	                    18.12	                    38.28	                    17.60
                     2.60	                     0.52	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   518.83	                  1655.87	                    20.00	                  1380.59	                    41.10	                  2014.09	                     0.00	                     2.13	                     0.28	                     0.00	                     2.41	                     3.79	                    14.21	                    18.01	                    47.57	                    17.49
                     3.22	                     0.62	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   518.83	                  1638.32	                    20.00	                  1363.03	                    41.10	                  2014.09	                     0.00	                     2.10	                     0.28	                     0.00	                     2.38	                     3.79	                    14.05	                    17.85	                    58.62	                    17.33
                     3.96	                     0.74	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   518.83	                  1623.78	                    20.00	                  1348.50	                    41.10	                  2014.09	                     0.00	                     2.08	                     0.28	                     0.00	                     2.36	                     3.79	                    13.92	                    17.72	                    71.78	                    17.21
                     4.40	                     0.45	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   518.83	                  1611.83	                    20.00	                  1336.54	                    41.10	                  2014.09	                     0.00	                     2.06	                     0.28	                     0.00	                     2.34	                     3.79	                    13.81	                    17.61	                    79.63	                    17.10
                     4.94	                     0.53	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   518.83	                  1603.16	                    20.00	                  1327.87	                    41.10	                  2014.09	                     0.00	                     2.05	                     0.28	                     0.00	                     2.33	                     3.79	                    13.73	                    17.53	                    89.01	                    17.02
                     5.58	                     0.64	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   518.83	                  1589.90	                    20.00	                  1314.61	                    41.10	                  2014.09	                     0.00	                     2.03	                     0.28	                     0.00	                     2.31	                     3.79	                    13.61	                    17.41	                   100.18	                    16.91
                     6.35	                     0.77	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   518.83	                  1579.60	                    20.00	                  1304.31	                    41.10	                  2014.09	                     0.00	                     2.01	                     0.28	                     0.00	                     2.29	                     3.79	                    13.52	                    17.31	                   113.52	                    16.81
                     6.81	                     0.46	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   518.83	                  1570.00	                    20.00	                  1294.71	                    41.10	                  2014.09	                     0.00	                     2.00	                     0.28	                     0.00	                     2.27	                     3.79	                    13.43	                    17.23	                   121.48	                    16.73
