                   Time_d	               TimeStep_d	                  Qo_m3/d	                  Qw_m3/d	                  Qg_m3/d	                 Qwi_m3/d	              PwfProd_bar	               PwfInj_bar	              PwhProd_bar	               PwhInj_bar	             QgFlare_m3/d	              QgFuel_m3/d	               QgExp_m3/d	                  Pump_MW	                   ESP_MW	              ExpCompr_MW	            TotalPower_MW	     GasEmission_tonCO2/d	  DieselEmission_tonCO2/d	   TotalEmission_tonCO2/d	       CumEmission_tonCO2	    RelEmission_kgCO2/boe
                     0.10	                     0.10	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   227.05	                  1447.33	                    20.00	                  1172.05	                    41.10	                  2014.09	                     0.00	                     1.81	                     0.58	                     0.00	                     2.39	                     3.79	                    14.12	                    17.91	                     1.79	                    17.40
                     0.22	                     0.12	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   227.05	                  1442.72	                    20.00	                  1167.43	                    41.10	                  2014.09	                     0.00	                     1.80	                     0.58	                     0.00	                     2.38	                     3.79	                    14.08	                    17.87	                     3.94	                    17.36
                     0.36	                     0.14	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   227.05	                  1436.17	                    20.00	                  1160.89	                    41.10	                  2014.09	                     0.00	                     1.79	                     0.58	                     0.00	                     2.37	                     3.79	                    14.02	                    17.81	                     6.50	                    17.30
                     0.54	                     0.17	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   227.05	                  1429.95	                    20.00	                  1154.66	                    41.10	                  2014.09	                     0.00	                     1.78	                     0.58	                     0.00	                     2.36	                     3.79	                    13.96	                    17.76	                     9.57	                    17.24
                     0.74	                     0.21	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   227.05	                  1421.18	                    20.00	                  1145.89	                    41.10	                  2014.09	                     0.00	                     1.77	                     0.58	                     0.00	                     2.35	                     3.79	                    13.88	                    17.68	                    13.23	                    17.17
                     0.99	                     0.25	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   227.05	                  1413.01	                    20.00	                  1137.72	                    41.10	                  2014.09	                     0.00	                     1.75	                     0.58	                     0.00	                     2.34	                     3.79	                    13.81	                    17.60	                    17.61	                    17.09
                     1.29	                     0.30	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   227.05	                  1401.55	                    20.00	                  1126.26	                    41.10	                  2014.09	                     0.00	                     1.74	                     0.58	                     0.00	                     2.32	                     3.79	                    13.70	                    17.50	                    22.84	                    16.99
                     1.65	                     0.36	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   227.05	                  1391.17	                    20.00	                  1115.89	                    41.10	                  2014.09	                     0.00	                     1.72	                     0.58	                     0.00	                     2.30	                     3.79	                    13.61	                    17.40	                    29.07	                    16.90
                     2.08	                     0.43	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   227.05	                  1376.71	                    20.00	                  1101.42	                    41.10	                  2014.09	                     0.00	                     1.70	                     0.58	                     0.00	                     2.28	                     3.79	                    13.48	                    17.27	                    36.50	                    16.77
                     2.60	                     0.52	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   227.05	                  1364.10	                    20.00	                  1088.81	                    41.10	                  2014.09	                     0.00	                     1.68	                     0.58	                     0.00	                     2.26	                     3.79	                    13.36	                    17.15	                    45.35	                    16.66
