                   Time_d	               TimeStep_d	                  Qo_m3/d	                  Qw_m3/d	                  Qg_m3/d	                 Qwi_m3/d	              PwfProd_bar	               PwfInj_bar	              PwhProd_bar	               PwhInj_bar	             QgFlare_m3/d	              QgFuel_m3/d	               QgExp_m3/d	                  Pump_MW	                   ESP_MW	              ExpCompr_MW	            TotalPower_MW	     GasEmission_tonCO2/d	  DieselEmission_tonCO2/d	   TotalEmission_tonCO2/d	       CumEmission_tonCO2	    RelEmission_kgCO2/boe
                     0.10	                     0.10	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  2021.90	                    20.00	                  1186.20	                    41.10	                  2014.09	                     0.00	                     1.83	                     0.26	                     0.00	                     2.09	                     3.79	                    11.73	                    15.53	                     1.55	                    15.08
                     0.22	                     0.12	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  2017.28	                    20.00	                  1181.58	                    41.10	                  2014.09	                     0.00	                     1.82	                     0.26	                     0.00	                     2.08	                     3.79	                    11.69	                    15.49	                     3.41	                    15.04
                     0.36	                     0.14	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  2010.74	                    20.00	                  1175.04	                    41.10	                  2014.09	                     0.00	                     1.81	                     0.26	                     0.00	                     2.07	                     3.79	                    11.64	                    15.43	                     5.63	                    14.99
                     0.54	                     0.17	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  2004.52	                    20.00	                  1168.82	                    41.10	                  2014.09	                     0.00	                     1.80	                     0.26	                     0.00	                     2.07	                     3.79	                    11.58	                    15.38	                     8.29	                    14.93
                     0.74	                     0.21	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1995.75	                    20.00	                  1160.04	                    41.10	                  2014.09	                     0.00	                     1.79	                     0.26	                     0.00	                     2.05	                     3.79	                    11.51	                    15.30	                    11.46	                    14.86
                     0.99	                     0.25	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1987.57	                    20.00	                  1151.87	                    41.10	                  2014.09	                     0.00	                     1.78	                     0.26	                     0.00	                     2.04	                     3.79	                    11.44	                    15.23	                    15.25	                    14.79
                     1.29	                     0.30	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1976.12	                    20.00	                  1140.42	                    41.10	                  2014.09	                     0.00	                     1.76	                     0.26	                     0.00	                     2.02	                     3.79	                    11.34	                    15.13	                    19.77	                    14.70
                     1.65	                     0.36	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1965.74	                    20.00	                  1130.04	                    41.10	                  2014.09	                     0.00	                     1.74	                     0.26	                     0.00	                     2.01	                     3.79	                    11.25	                    15.04	                    25.16	                    14.61
                     2.08	                     0.43	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1951.28	                    20.00	                  1115.58	                    41.10	                  2014.09	                     0.00	                     1.72	                     0.26	                     0.00	                     1.98	                     3.79	                    11.12	                    14.92	                    31.57	                    14.49
                     2.60	                     0.52	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1938.66	                    20.00	                  1102.96	                    41.10	                  2014.09	                     0.00	                     1.70	                     0.26	                     0.00	                     1.96	                     3.79	                    11.01	                    14.81	                    39.21	                    14.38
                     3.22	                     0.62	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1921.11	                    20.00	                  1085.41	                    41.10	                  2014.09	                     0.00	                     1.67	                     0.26	                     0.00	                     1.94	                     3.79	                    10.86	                    14.65	                    48.29	                    14.23
                     3.96	                     0.74	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1906.57	                    20.00	                  1070.87	                    41.10	                  2014.09	                     0.00	                     1.65	                     0.26	                     0.00	                     1.91	                     3.79	                    10.73	                    14.53	                    59.08	                    14.11
                     4.40	                     0.45	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1894.62	                    20.00	                  1058.92	                    41.10	                  2014.09	                     0.00	                     1.63	                     0.26	                     0.00	                     1.90	                     3.79	                    10.63	                    14.42	                    65.51	                    14.01
                     4.94	                     0.53	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1885.95	                    20.00	                  1050.25	                    41.10	                  2014.09	                     0.00	                     1.62	                     0.26	                     0.00	                     1.88	                     3.79	                    10.56	                    14.35	                    73.19	                    13.94
                     5.58	                     0.64	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1872.69	                    20.00	                  1036.99	                    41.10	                  2014.09	                     0.00	                     1.60	                     0.26	                     0.00	                     1.86	                     3.79	                    10.44	                    14.23	                    82.33	                    13.82
                     6.35	                     0.77	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1862.39	                    20.00	                  1026.69	                    41.10	                  2014.09	                     0.00	                     1.58	                     0.26	                     0.00	                     1.85	                     3.79	                    10.35	                    14.15	                    93.22	                    13.74
                     6.81	                     0.46	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1852.79	                    20.00	                  1017.09	                    41.10	                  2014.09	                     0.00	                     1.57	                     0.26	                     0.00	                     1.83	                     3.79	                    10.27	                    14.06	                    99.72	                    13.66
                     7.37	                     0.55	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1846.50	                    20.00	                  1010.80	                    41.10	                  2014.09	                     0.00	                     1.56	                     0.26	                     0.00	                     1.82	                     3.79	                    10.21	                    14.01	                   107.49	                    13.60
                     8.03	                     0.67	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1835.79	                    20.00	                  1000.09	                    41.10	                  2014.09	                     0.00	                     1.54	                     0.26	                     0.00	                     1.80	                     3.79	                    10.12	                    13.91	                   116.75	                    13.51
                     8.83	                     0.80	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1828.13	                    20.00	                   992.43	                    41.10	                  2014.09	                     0.00	                     1.53	                     0.26	                     0.00	                     1.79	                     3.79	                    10.05	                    13.85	                   127.82	                    13.45
                     9.31	                     0.48	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1819.96	                    20.00	                   984.26	                    41.10	                  2014.09	                     0.00	                     1.52	                     0.26	                     0.00	                     1.78	                     3.79	                     9.98	                    13.78	                   134.42	                    13.38
                     9.89	                     0.58	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1815.20	                    20.00	                   979.50	                    41.10	                  2014.09	                     0.00	                     1.51	                     0.26	                     0.00	                     1.77	                     3.79	                     9.94	                    13.74	                   142.32	                    13.34
                    10.58	                     0.69	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1806.11	                    20.00	                   970.41	                    41.10	                  2014.09	                     0.00	                     1.50	                     0.26	                     0.00	                     1.76	                     3.79	                     9.86	                    13.66	                   151.74	                    13.26
                    11.40	                     0.83	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1800.21	                    20.00	                   964.51	                    41.10	                  2014.09	                     0.00	                     1.49	                     0.26	                     0.00	                     1.75	                     3.79	                     9.81	                    13.61	                   163.01	                    13.21
                    11.90	                     0.50	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1792.97	                    20.00	                   957.27	                    41.10	                  2014.09	                     0.00	                     1.48	                     0.26	                     0.00	                     1.74	                     3.79	                     9.75	                    13.54	                   169.74	                    13.15
                    12.50	                     0.60	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1789.24	                    20.00	                   953.54	                    41.10	                  2014.09	                     0.00	                     1.47	                     0.26	                     0.00	                     1.73	                     3.79	                     9.72	                    13.51	                   177.79	                    13.12
                    13.21	                     0.72	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1781.28	                    20.00	                   945.58	                    41.10	                  2014.09	                     0.00	                     1.46	                     0.26	                     0.00	                     1.72	                     3.79	                     9.65	                    13.44	                   187.41	                    13.05
                    14.07	                     0.86	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1776.59	                    20.00	                   940.89	                    41.10	                  2014.09	                     0.00	                     1.45	                     0.26	                     0.00	                     1.71	                     3.79	                     9.61	                    13.40	                   198.92	                    13.02
                    14.59	                     0.52	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1770.05	                    20.00	                   934.35	                    41.10	                  2014.09	                     0.00	                     1.44	                     0.26	                     0.00	                     1.70	                     3.79	                     9.55	                    13.34	                   205.79	                    12.96
                    15.21	                     0.62	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1767.06	                    20.00	                   931.36	                    41.10	                  2014.09	                     0.00	                     1.44	                     0.26	                     0.00	                     1.70	                     3.79	                     9.52	                    13.32	                   214.02	                    12.94
                    15.95	                     0.74	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1759.96	                    20.00	                   924.26	                    41.10	                  2014.09	                     0.00	                     1.42	                     0.26	                     0.00	                     1.69	                     3.79	                     9.46	                    13.26	                   223.86	                    12.88
                    16.84	                     0.89	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1756.15	                    20.00	                   920.45	                    41.10	                  2014.09	                     0.00	                     1.42	                     0.26	                     0.00	                     1.68	                     3.79	                     9.43	                    13.22	                   235.63	                    12.84
                    17.37	                     0.53	                  1027.60	                     0.00	                  2055.20	                  1000.00	                   801.62	                  1750.19	                    20.00	                   914.49	                    41.10	                  2014.09	                     0.00	                     1.41	                     0.26	                     0.00	                     1.67	                     3.79	                     9.38	                    13.17	                   242.67	                    12.79
