                  Time[d],	              TimeStep[d],	                 Qo[m3/d],	                 Qw[m3/d],	                 Qg[m3/d],	                Qwi[m3/d],	             PwfProd[bar],	              PwfInj[bar],	             PwhProd[bar],	              PwhInj[bar],	            QgFlare[m3/d],	             QgFuel[m3/d],	              QgExp[m3/d],	                 Pump[MW],	                  ESP[MW],	             ExpCompr[MW],	           TotalPower[MW],	    GasEmission[tonCO2/d],	 DieselEmission[tonCO2/d],	  TotalEmission[tonCO2/d],	      CumEmission[tonCO2],	   RelEmission[kgCO2/boe]
                     0.10,	                     0.10,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1498.64,	                    20.00,	                  1223.34,	                    41.10,	                  2014.09,	                     0.00,	                     1.89,	                     0.29,	                     0.00,	                     2.18,	                     3.79,	                    12.86,	                    16.66,	                     1.67,	                    16.18
                     0.22,	                     0.12,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1494.02,	                    20.00,	                  1218.72,	                    41.10,	                  2014.09,	                     0.00,	                     1.88,	                     0.29,	                     0.00,	                     2.17,	                     3.79,	                    12.82,	                    16.61,	                     3.66,	                    16.14
                     0.36,	                     0.14,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1487.48,	                    20.00,	                  1212.18,	                    41.10,	                  2014.09,	                     0.00,	                     1.87,	                     0.29,	                     0.00,	                     2.16,	                     3.79,	                    12.76,	                    16.55,	                     6.04,	                    16.08
                     0.54,	                     0.17,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1481.26,	                    20.00,	                  1205.96,	                    41.10,	                  2014.09,	                     0.00,	                     1.86,	                     0.29,	                     0.00,	                     2.15,	                     3.79,	                    12.70,	                    16.50,	                     8.89,	                    16.02
                     0.74,	                     0.21,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1472.48,	                    20.00,	                  1197.18,	                    41.10,	                  2014.09,	                     0.00,	                     1.85,	                     0.29,	                     0.00,	                     2.14,	                     3.79,	                    12.62,	                    16.42,	                    12.30,	                    15.94
                     0.99,	                     0.25,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1464.31,	                    20.00,	                  1189.01,	                    41.10,	                  2014.09,	                     0.00,	                     1.83,	                     0.29,	                     0.00,	                     2.13,	                     3.79,	                    12.55,	                    16.34,	                    16.36,	                    15.87
                     1.29,	                     0.30,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1452.86,	                    20.00,	                  1177.55,	                    41.10,	                  2014.09,	                     0.00,	                     1.82,	                     0.29,	                     0.00,	                     2.11,	                     3.79,	                    12.44,	                    16.24,	                    21.21,	                    15.77
                     1.65,	                     0.36,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1442.48,	                    20.00,	                  1167.18,	                    41.10,	                  2014.09,	                     0.00,	                     1.80,	                     0.29,	                     0.00,	                     2.09,	                     3.79,	                    12.35,	                    16.14,	                    27.00,	                    15.68
                     2.08,	                     0.43,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1428.02,	                    20.00,	                  1152.71,	                    41.10,	                  2014.09,	                     0.00,	                     1.78,	                     0.29,	                     0.00,	                     2.07,	                     3.79,	                    12.22,	                    16.01,	                    33.88,	                    15.55
                     2.60,	                     0.52,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1415.40,	                    20.00,	                  1140.10,	                    41.10,	                  2014.09,	                     0.00,	                     1.76,	                     0.29,	                     0.00,	                     2.05,	                     3.79,	                    12.10,	                    15.90,	                    42.08,	                    15.44
