                  Time[d],	              TimeStep[d],	                 Qo[m3/d],	                 Qw[m3/d],	                 Qg[m3/d],	                Qwi[m3/d],	             PwfProd[bar],	              PwfInj[bar],	             PwhProd[bar],	              PwhInj[bar],	            QgFlare[m3/d],	             QgFuel[m3/d],	              QgExp[m3/d],	                 Pump[MW],	                  ESP[MW],	             ExpCompr[MW],	           TotalPower[MW],	    GasEmission[tonCO2/d],	 DieselEmission[tonCO2/d],	  TotalEmission[tonCO2/d],	      CumEmission[tonCO2],	   RelEmission[kgCO2/boe]
                     0.10,	                     0.10,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1698.69,	                    20.00,	                  1423.39,	                    41.10,	                  2014.09,	                     0.00,	                     2.20,	                     0.29,	                     0.00,	                     2.49,	                     3.79,	                    14.69,	                    18.48,	                     1.85,	                    17.95
                     0.22,	                     0.12,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1687.84,	                    20.00,	                  1412.53,	                    41.10,	                  2014.09,	                     0.00,	                     2.18,	                     0.29,	                     0.00,	                     2.47,	                     3.79,	                    14.59,	                    18.38,	                     4.05,	                    17.85
                     0.36,	                     0.14,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1673.78,	                    20.00,	                  1398.48,	                    41.10,	                  2014.09,	                     0.00,	                     2.16,	                     0.29,	                     0.00,	                     2.45,	                     3.79,	                    14.46,	                    18.25,	                     6.68,	                    17.73
                     0.54,	                     0.17,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1659.56,	                    20.00,	                  1384.26,	                    41.10,	                  2014.09,	                     0.00,	                     2.13,	                     0.29,	                     0.00,	                     2.43,	                     3.79,	                    14.33,	                    18.12,	                     9.81,	                    17.60
                     0.74,	                     0.21,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1641.32,	                    20.00,	                  1366.02,	                    41.10,	                  2014.09,	                     0.00,	                     2.11,	                     0.29,	                     0.00,	                     2.40,	                     3.79,	                    14.16,	                    17.96,	                    13.54,	                    17.44
                     0.99,	                     0.25,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1623.33,	                    20.00,	                  1348.02,	                    41.10,	                  2014.09,	                     0.00,	                     2.08,	                     0.29,	                     0.00,	                     2.37,	                     3.79,	                    14.00,	                    17.79,	                    17.97,	                    17.28
                     1.29,	                     0.30,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1600.52,	                    20.00,	                  1325.22,	                    41.10,	                  2014.09,	                     0.00,	                     2.04,	                     0.29,	                     0.00,	                     2.34,	                     3.79,	                    13.79,	                    17.59,	                    23.22,	                    17.08
                     1.65,	                     0.36,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1578.76,	                    20.00,	                  1303.46,	                    41.10,	                  2014.09,	                     0.00,	                     2.01,	                     0.29,	                     0.00,	                     2.30,	                     3.79,	                    13.59,	                    17.39,	                    29.45,	                    16.89
                     2.08,	                     0.43,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1551.52,	                    20.00,	                  1276.22,	                    41.10,	                  2014.09,	                     0.00,	                     1.97,	                     0.29,	                     0.00,	                     2.26,	                     3.79,	                    13.34,	                    17.14,	                    36.82,	                    16.65
                     2.60,	                     0.52,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  1526.64,	                    20.00,	                  1251.33,	                    41.10,	                  2014.09,	                     0.00,	                     1.93,	                     0.29,	                     0.00,	                     2.22,	                     3.79,	                    13.12,	                    16.91,	                    45.54,	                    16.42
