                  Time[d],	              TimeStep[d],	                 Qo[m3/d],	                 Qw[m3/d],	                 Qg[m3/d],	                Qwi[m3/d],	             PwfProd[bar],	              PwfInj[bar],	             PwhProd[bar],	              PwhInj[bar],	            QgFlare[m3/d],	             QgFuel[m3/d],	              QgExp[m3/d],	                 Pump[MW],	                  ESP[MW],	             ExpCompr[MW],	           TotalPower[MW],	    GasEmission[tonCO2/d],	 DieselEmission[tonCO2/d],	  TotalEmission[tonCO2/d],	      CumEmission[tonCO2],	   RelEmission[kgCO2/boe]
                     0.10,	                     0.10,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	               2494500.91,	                    20.00,	               2494225.61,	                    41.10,	                  2014.09,	                     0.00,	                  3849.11,	                     0.29,	                     0.00,	                  3849.40,	                     3.79,	                 22763.05,	                 22766.85,	                  2276.68,	                 22111.18
                     0.22,	                     0.12,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                516373.17,	                    20.00,	                516097.87,	                    41.10,	                  2014.09,	                     0.00,	                   796.45,	                     0.29,	                     0.00,	                   796.74,	                     3.79,	                  4711.41,	                  4715.21,	                  2842.51,	                  4579.41
                     0.36,	                     0.14,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                189617.02,	                    20.00,	                189341.72,	                    41.10,	                  2014.09,	                     0.00,	                   292.19,	                     0.29,	                     0.00,	                   292.48,	                     3.79,	                  1729.56,	                  1733.35,	                  3092.11,	                  1683.43
                     0.54,	                     0.17,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                 87901.65,	                    20.00,	                 87626.35,	                    41.10,	                  2014.09,	                     0.00,	                   135.22,	                     0.29,	                     0.00,	                   135.52,	                     3.79,	                   801.34,	                   805.14,	                  3231.24,	                   781.95
                     0.74,	                     0.21,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                 46464.79,	                    20.00,	                 46189.49,	                    41.10,	                  2014.09,	                     0.00,	                    71.28,	                     0.29,	                     0.00,	                    71.57,	                     3.79,	                   423.21,	                   427.00,	                  3319.78,	                   414.70
                     0.99,	                     0.25,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                 26685.84,	                    20.00,	                 26410.54,	                    41.10,	                  2014.09,	                     0.00,	                    40.76,	                     0.29,	                     0.00,	                    41.05,	                     3.79,	                   242.71,	                   246.50,	                  3381.12,	                   239.41
                     1.29,	                     0.30,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                 16383.39,	                    20.00,	                 16108.09,	                    41.10,	                  2014.09,	                     0.00,	                    24.86,	                     0.29,	                     0.00,	                    25.15,	                     3.79,	                   148.69,	                   152.49,	                  3426.65,	                   148.10
                     1.65,	                     0.36,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                 10565.38,	                    20.00,	                 10290.07,	                    41.10,	                  2014.09,	                     0.00,	                    15.88,	                     0.29,	                     0.00,	                    16.17,	                     3.79,	                    95.60,	                    99.40,	                  3462.27,	                    96.53
                     2.08,	                     0.43,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  7194.16,	                    20.00,	                  6918.86,	                    41.10,	                  2014.09,	                     0.00,	                    10.68,	                     0.29,	                     0.00,	                    10.97,	                     3.79,	                    64.84,	                    68.63,	                  3491.78,	                    66.65
                     2.60,	                     0.52,	                  1027.60,	                     0.00,	                  2055.20,	                  1000.00,	                   278.36,	                  5104.94,	                    20.00,	                  4829.64,	                    41.10,	                  2014.09,	                     0.00,	                     7.45,	                     0.29,	                     0.00,	                     7.74,	                     3.79,	                    45.77,	                    49.57,	                  3517.35,	                    48.14
